epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,10953.7,1.22306,1.20435,1.12174,0.8904,0.88774,0.92238,0.71647,1.28555,1.03778,1.11242,0.00206901,0.00206901,0.00206901
142,11031,1.20312,1.17737,1.11129,0.89538,0.8742,0.92187,0.71563,1.28453,1.03665,1.11182,0.0020059,0.0020059,0.0020059
143,11107.7,1.21562,1.20612,1.12756,0.89589,0.87696,0.92224,0.71599,1.28363,1.03434,1.11131,0.00194353,0.00194353,0.00194353
144,11184.3,1.19695,1.18002,1.11312,0.89637,0.87465,0.9222,0.71609,1.28401,1.03519,1.11081,0.00188191,0.00188191,0.00188191
145,11260.7,1.19398,1.18325,1.11307,0.89693,0.8758,0.92198,0.7164,1.28403,1.0364,1.1106,0.00182107,0.00182107,0.00182107
146,11337.2,1.18866,1.14709,1.10857,0.89786,0.87482,0.92195,0.71732,1.28253,1.03552,1.10979,0.00176101,0.00176101,0.00176101
147,11414.2,1.18619,1.1539,1.10941,0.8971,0.87739,0.92243,0.71786,1.28043,1.03505,1.10899,0.00170175,0.00170175,0.00170175
148,11491.3,1.18175,1.15148,1.10655,0.89799,0.87609,0.92259,0.71797,1.27941,1.03305,1.10845,0.0016433,0.0016433,0.0016433
149,11568.4,1.17532,1.12805,1.09533,0.89796,0.87578,0.92245,0.71854,1.27813,1.03129,1.10797,0.00158569,0.00158569,0.00158569
150,11645.8,1.18011,1.14918,1.10713,0.89731,0.87657,0.92232,0.71828,1.27734,1.02885,1.10732,0.00152892,0.00152892,0.00152892
151,11722.3,1.1665,1.14056,1.10018,0.89809,0.87706,0.92309,0.71933,1.27581,1.0275,1.10696,0.001473,0.001473,0.001473
152,11799.5,1.1758,1.16215,1.10776,0.90014,0.87659,0.92338,0.71984,1.27529,1.02925,1.10698,0.00141796,0.00141796,0.00141796
153,11877,1.14992,1.10469,1.09291,0.89956,0.87708,0.9235,0.72023,1.27445,1.02871,1.10674,0.0013638,0.0013638,0.0013638
154,11954.6,1.1648,1.13612,1.09737,0.89781,0.88132,0.92366,0.72063,1.27311,1.02721,1.10617,0.00131054,0.00131054,0.00131054
155,12032,1.16009,1.12432,1.09827,0.90027,0.87682,0.92401,0.72069,1.27191,1.02517,1.10607,0.0012582,0.0012582,0.0012582
156,12109.1,1.16173,1.12967,1.10012,0.89941,0.87898,0.92322,0.72165,1.27225,1.02567,1.10585,0.00120677,0.00120677,0.00120677
157,12186.6,1.16761,1.14295,1.10163,0.89982,0.87959,0.92405,0.722,1.27148,1.02501,1.10579,0.00115629,0.00115629,0.00115629
158,12264.1,1.14599,1.10378,1.08968,0.89945,0.88057,0.92318,0.72199,1.27067,1.02552,1.10552,0.00110675,0.00110675,0.00110675
159,12340.6,1.14948,1.11115,1.09071,0.89985,0.87987,0.92382,0.72268,1.26976,1.0242,1.10448,0.00105818,0.00105818,0.00105818
160,12418.1,1.13874,1.10412,1.08852,0.89935,0.87978,0.92309,0.72255,1.26957,1.02406,1.10423,0.00101058,0.00101058,0.00101058
161,12494.5,1.14004,1.10853,1.08959,0.8999,0.88039,0.92275,0.72276,1.26831,1.02294,1.10453,0.00096396,0.00096396,0.00096396
